iter	Passed	Remaining
402	14673	29018
403	14720	29004
404	14761	28976
405	14798	28941
406	14844	28923
407	14883	28891
408	14924	28864
409	14959	28823
410	15000	28797
411	15038	28762
412	15075	28727
413	15118	28703
414	15162	28680
415	15201	28648
416	15244	28624
417	15295	28615
418	15335	28584
419	15378	28560
420	15419	28531
421	15466	28514
422	15505	28482
423	15545	28451
424	15585	28419
425	15630	28399
426	15673	28374
427	15714	28344
428	15753	28312
429	15794	28282
430	15836	28254
431	15881	28233
432	15921	28201
433	15961	28170
434	16003	28144
435	16046	28117
436	16087	28088
437	16127	28058
438	16169	28029
439	16208	27997
440	16246	27961
441	16286	27930
442	16337	27918
443	16377	27885
444	16414	27850
445	16454	27816
446	16490	27779
447	16527	27741
448	16570	27716
449	16611	27685
450	16649	27650
451	16690	27620
452	16739	27603
453	16774	27562
454	16819	27539
455	16850	27492
456	16891	27462
457	16927	27424
458	16965	27389
459	17005	27356
460	17041	27318
461	17074	27275
462	17127	27262
463	17160	27220
464	17195	27180
465	17230	27140
466	17272	27111
467	17318	27087
468	17362	27061
469	17412	27044
470	17456	27017
471	17492	26979
472	17528	26940
473	17568	26908
474	17603	26867
475	17635	26824
476	17673	26787
477	17714	26757
478	17758	26730
479	17797	26696
480	17838	26664
481	17869	26618
482	17904	26578
483	17949	26553
484	17985	26514
485	18025	26481
486	18067	26452
487	18107	26419
488	18145	26383
489	18185	26350
490	18222	26313
491	18259	26275
492	18296	26239
493	18334	26203
494	18372	26166
495	18411	26132
496	18454	26103
497	18494	26070
498	18532	26034
499	18573	26003
500	18609	25964
501	18648	25929
502	18696	25907
503	18738	25876
504	18775	25839
505	18809	25798
506	18851	25767
507	18892	25735
508	18930	25699
509	18971	25667
510	19016	25640
511	19055	25605
512	19095	25572
513	19133	25536
514	19178	25508
515	19216	25473
516	19253	25435
517	19295	25404
518	19328	25362
519	19364	25322
520	19406	25292
521	19442	25252
522	19482	25219
523	19517	25178
524	19552	25139
525	19593	25105
526	19634	25074
527	19676	25042
528	19719	25012
529	19755	24974
530	19801	24947
531	19838	24910
532	19879	24877
533	19917	24840
534	19965	24816
535	20007	24784
536	20047	24751
537	20088	24718
538	20128	24684
539	20168	24650
540	20211	24619
541	20249	24582
542	20291	24551
543	20338	24525
544	20375	24487
545	20416	24454
546	20453	24416
547	20493	24383
548	20535	24350
549	20577	24318
550	20619	24286
551	20673	24268
552	20713	24234
553	20756	24203
554	20804	24178
555	20843	24141
556	20876	24099
557	20911	24059
558	20947	24019
559	20987	23985
560	21028	23952
561	21066	23915
562	21102	23876
563	21137	23836
564	21172	23795
565	21210	23758
566	21254	23728
567	21292	23692
568	21330	23654
569	21371	23620
570	21416	23592
571	21473	23575
572	21510	23537
573	21552	23504
574	21589	23466
575	21625	23427
576	21669	23397
577	21704	23356
578	21743	23320
579	21782	23284
580	21830	23258
581	21873	23226
582	21917	23195
583	21950	23153
584	21987	23115
585	22026	23078
586	22062	23039
587	22098	23000
588	22146	22973
589	22181	22933
590	22221	22898
591	22261	22863
592	22302	22829
593	22342	22793
594	22380	22756
595	22420	22720
596	22458	22684
597	22496	22647
598	22538	22613
599	22576	22576
600	22634	22559
601	22677	22526
602	22715	22489
603	22755	22454
604	22797	22420
605	22838	22386
606	22876	22349
607	22916	22313
608	22956	22278
609	22996	22242
610	23035	22206
611	23075	22170
612	23122	22141
613	23163	22106
614	23196	22064
615	23232	22025
616	23266	21984
617	23308	21950
618	23340	21908
619	23375	21867
620	23409	21826
621	23462	21802
622	23496	21761
623	23532	21722
