iter	AUC	Logloss
109	0.7551166051	0.5264393902
110	0.7552660202	0.5263086178
111	0.7555169013	0.526165224
112	0.7558091886	0.5260078549
113	0.7559383683	0.5258705506
114	0.7561429628	0.525729562
115	0.7561353632	0.5256532393
116	0.7562994869	0.5254795231
117	0.7565116425	0.5253642221
118	0.7566562774	0.5251908693
119	0.7568307179	0.5250174688
120	0.7569142385	0.5249737144
121	0.7570122269	0.5249110439
122	0.7570155832	0.5249070607
123	0.7573288814	0.5246623128
124	0.7575353042	0.5245540805
125	0.7577384804	0.5244589422
126	0.7577384804	0.5244589373
127	0.7579478552	0.5242600119
128	0.7581059843	0.5239989992
129	0.7582879417	0.5238212634
130	0.7585148827	0.5236325482
131	0.7585557462	0.5235302257
132	0.7586818546	0.5234508487
133	0.7588008444	0.5233351945
134	0.7591743178	0.5230896456
135	0.7593057472	0.5230065578
136	0.7592970661	0.5229969068
137	0.7593315077	0.5229570318
138	0.7596868588	0.5227831123
139	0.7596858331	0.5227829587
140	0.7599364928	0.5225861866
141	0.7599387868	0.5225491632
142	0.7601761314	0.5223990213
143	0.7604536428	0.5221979933
144	0.7606374092	0.5220708689
145	0.7608157448	0.5219138485
146	0.7608821648	0.5218572218
147	0.7608803327	0.5218548165
148	0.7610812131	0.5217116337
149	0.7612096923	0.5215897585
150	0.7613780151	0.521483922
151	0.7615691405	0.5213778305
152	0.7620228802	0.5211507377
153	0.7622718196	0.5210133471
154	0.7623783795	0.5209505944
155	0.762431288	0.520870429
156	0.7626036713	0.5207769078
157	0.7627855633	0.5206830509
158	0.7629430899	0.5205641708
159	0.7630004709	0.5204746841
160	0.7632033315	0.5203464211
161	0.7632321403	0.5202940461
162	0.7633088445	0.5202061904
163	0.7634431047	0.52010247
164	0.7636521486	0.5199692332
165	0.7639316056	0.5197886699
166	0.7642027144	0.5195793998
167	0.7642027356	0.5195792208
168	0.7643240848	0.5194531613
169	0.7644508782	0.5193739535
170	0.7645873285	0.5192941932
171	0.7647829647	0.5191309935
172	0.7649162839	0.5190592399
173	0.7650976274	0.5188838405
174	0.7651932546	0.5187993999
175	0.765233637	0.5187512062
176	0.7652955211	0.5187138011
177	0.7652960137	0.5187137334
178	0.7654240484	0.5186454423
179	0.7654702907	0.5186148725
180	0.7656357634	0.5185203042
181	0.7657305034	0.518448544
182	0.7658516524	0.5183566829
183	0.7659489462	0.5182992881
184	0.7660352514	0.518237494
185	0.766286985	0.5180995937
186	0.7663260818	0.5180424555
187	0.7665135527	0.5179411171
188	0.7667316876	0.5177728661
189	0.7668878575	0.5176734627
190	0.7670268885	0.5175703848
191	0.7671471811	0.5174980734
192	0.7672809006	0.5174224907
193	0.7675070238	0.5172780279
194	0.7675854196	0.5172209941
195	0.7677001295	0.5171422298
196	0.7678817655	0.5170332862
197	0.7678800931	0.5170127305
198	0.7678808186	0.517012426
199	0.7679988636	0.5169493943
200	0.7682106016	0.5168083633
201	0.7684758756	0.5166063109
202	0.7686068469	0.5164879253
203	0.7687048142	0.5164110237
204	0.7687905556	0.5163181592
205	0.7688899335	0.5162506174
206	0.7689647748	0.5162052339
207	0.769270102	0.5160220201
208	0.7694050416	0.5159452149
209	0.7695215585	0.5158746868
210	0.7697958311	0.515685867
211	0.7698906116	0.5156107565
212	0.7700236767	0.5155128774
213	0.7702955534	0.5153622099
214	0.7704879528	0.5152098546
215	0.7706302822	0.5151293549
216	0.7707261364	0.5150606376
217	0.7708607065	0.5149318938
218	0.7709376647	0.5148633983
219	0.7710303591	0.5147938205
220	0.7712735174	0.5146224008
221	0.7713436515	0.514548778
222	0.7715433619	0.5144270925
223	0.7716798467	0.5143546389
224	0.7719905085	0.5141741532
225	0.772031601	0.5141452338
226	0.7722446477	0.5139989236
227	0.7725427698	0.51384021
228	0.7725870357	0.5137892632
229	0.7727828952	0.5136712275
230	0.7730933184	0.5134844957
231	0.7732298187	0.5134041957
232	0.7733364613	0.5133308424
233	0.773548107	0.5131784082
234	0.7736689539	0.5131020752
235	0.7737238561	0.5130588593
236	0.7739245229	0.5129027373
237	0.7741845913	0.5127348214
238	0.7744024047	0.5125556072
239	0.7744716691	0.5124372941
240	0.7746645207	0.5123321411
241	0.7748262523	0.5122334699
242	0.7749377926	0.5117825085
243	0.7751286601	0.5115968744
244	0.7753505804	0.5114868625
245	0.7756717111	0.5113081501
246	0.7758637929	0.5111815735
247	0.7762573344	0.5109303016
248	0.7765494369	0.5107127808
249	0.7767385263	0.5105788669
250	0.7770110496	0.5104062053
251	0.7772451438	0.5102783059
252	0.7773363794	0.510213734
253	0.7774148425	0.5100899515
254	0.7775722287	0.5100056996
255	0.7776155478	0.5099691183
256	0.7778414939	0.5098025339
257	0.7780672419	0.509679272
258	0.7781922109	0.5096059168
259	0.7784050074	0.5094581063
260	0.7785151987	0.5093902809
261	0.7786919717	0.5092708361
262	0.7789088364	0.5091236667
263	0.7790293216	0.5090204027
264	0.779202186	0.5089131608
265	0.7794338824	0.5087879691
266	0.779561919	0.5086921165
267	0.7797945564	0.5085296777
268	0.7798351562	0.5085057539
269	0.7800764979	0.5083764178
270	0.7803364565	0.5082270589
271	0.7805256344	0.5081292659
272	0.7807413888	0.508003483
273	0.7809645695	0.5076818407
274	0.7810203705	0.507596528
275	0.7813297082	0.5074398325
276	0.7815203352	0.5072962486
277	0.781696246	0.5071885246
278	0.7818294632	0.5071174118
279	0.7819359615	0.5070546423
280	0.7820847955	0.5069642849
281	0.7823253097	0.5068104424
282	0.7824075889	0.5067207244
283	0.7825923406	0.506583894
284	0.7827158105	0.5065175364
285	0.782805243	0.5064615056
286	0.7830443195	0.5062972763
287	0.7831997794	0.5062198498
288	0.7833328772	0.5061151753
289	0.7834738807	0.5060303081
290	0.7835723233	0.5059728725
291	0.7838911832	0.5057896476
292	0.7840381755	0.5056929208
293	0.7841912952	0.5055968818
294	0.7842793786	0.5055387266
295	0.7845524465	0.5053842332
296	0.7848024077	0.5052368849
297	0.7849359521	0.5051448793
298	0.7850497786	0.5050576219
299	0.7852466061	0.5049415039
300	0.7854376296	0.5048029684
301	0.7855291596	0.5047515468
302	0.7857505352	0.5046330678
303	0.7858534964	0.5045734263
304	0.786052793	0.5044691132
305	0.7862143052	0.5043724016
306	0.7863491716	0.50429434
307	0.7865231176	0.504180227
308	0.7865874284	0.504145528
309	0.7867188558	0.5040734872
310	0.786889257	0.5039488153
311	0.7869146673	0.5039315123
312	0.7870269062	0.5038697612
313	0.7874295522	0.5036550295
314	0.7877258076	0.5034634986
315	0.7879095913	0.5033590168
316	0.7880700874	0.5032443511
317	0.7881390495	0.5032044014
318	0.7882170431	0.5031071277
319	0.7883122681	0.5030561665
320	0.7884165918	0.5030023233
321	0.7886749705	0.5028418261
322	0.7888401275	0.5025182238
323	0.7888666944	0.5024990035
324	0.7892371388	0.5022793812
325	0.7893080754	0.5022309058
326	0.7896230402	0.5020507218
327	0.7897571292	0.5019651399
328	0.7900974215	0.5017460603
329	0.790357486	0.5015911343
330	0.790418075	0.5015331275
331	0.7906996373	0.5013679075
332	0.7908642075	0.5012745291
333	0.7911477347	0.5011070052
334	0.7912355063	0.5010426194
335	0.7915455484	0.5008459678
336	0.791625376	0.5008010152
337	0.7916408042	0.5007692433
338	0.7917599633	0.5006834484
339	0.7920175203	0.5005168461
340	0.7920793197	0.5004799561
341	0.7922277785	0.5003886334
342	0.7924462713	0.500272309
343	0.7926907767	0.5001042904
344	0.7928194445	0.5000440878
345	0.7929857139	0.4999374586
346	0.7931135484	0.4998473957
347	0.7932216383	0.4997925508
348	0.7933720599	0.4997163039
349	0.7935296366	0.4996411525
350	0.7936316703	0.4995902441
351	0.7938143859	0.4994839487
352	0.7940607907	0.4993479613
353	0.7943180263	0.4991965167
354	0.7943666491	0.4991540798
355	0.7944358884	0.4991132589
356	0.7944937196	0.4990801318
357	0.7944955113	0.4990614562
358	0.7946703079	0.4989591357
359	0.7948959961	0.4988156729
360	0.7950823008	0.498683953
361	0.7951807704	0.4986197618
362	0.7952654918	0.4985677044
363	0.7953069114	0.4985281499
364	0.7954199952	0.4984617962
365	0.7956158374	0.4983491237
366	0.7956975643	0.4982979158
367	0.7959362079	0.4981667804
368	0.7960572723	0.4980816492
369	0.7962897712	0.4979464658
370	0.7963764536	0.4978839892
371	0.7964301126	0.4978205062
372	0.7965421168	0.4977332175
373	0.7967040773	0.4976486865
374	0.7969264825	0.4975055636
375	0.7970224041	0.4974294059
376	0.7971649241	0.4973441422
377	0.7973356735	0.4972146858
378	0.7974509473	0.4971405388
379	0.7975773038	0.4970585363
380	0.7977771123	0.496937186
381	0.7979095251	0.4968538143
382	0.7982200098	0.4966326344
383	0.7984010165	0.4965232631
384	0.7985975996	0.4964117807
385	0.7987920678	0.4962790421
386	0.7989261317	0.4962013291
387	0.7990235429	0.4961296908
388	0.7991609784	0.4960192587
389	0.7993675301	0.4958996516
390	0.7994381858	0.4958587988
391	0.7995747034	0.4957759311
392	0.7998797785	0.4955551908
393	0.8001118867	0.4954092802
394	0.800188437	0.4953682097
395	0.8002645985	0.4953205211
396	0.8007127324	0.4950720341
397	0.8007762484	0.4950141412
398	0.8009427083	0.4949161411
399	0.8011007507	0.4948244618
400	0.8011971207	0.494739883
401	0.8013660227	0.4946413011
402	0.8015413447	0.4945430556
403	0.8017053124	0.4944497497
404	0.8019507397	0.4942444668
405	0.8022232071	0.4940818026
406	0.8024024569	0.4939735499
407	0.8025723326	0.4938622731
408	0.802605381	0.4938014557
409	0.8027631424	0.493680906
410	0.8028725601	0.4936016663
411	0.8029732813	0.4935369411
412	0.8030167062	0.493514842
413	0.8031639641	0.493432408
414	0.803228119	0.4933816071
415	0.8034585125	0.4932103274
416	0.8035180046	0.4931630584
417	0.8036582594	0.4930312547
418	0.8038536725	0.4928767071
419	0.8039681341	0.492818914
420	0.8040583844	0.4927453835
421	0.8041417202	0.492689097
422	0.8043127834	0.4925799236
423	0.8044384664	0.4924936143
424	0.8045754555	0.4924120101
425	0.8046911988	0.4923320682
426	0.8048693304	0.492205697
427	0.8049293035	0.4921263504
428	0.8052000929	0.4919261431
429	0.8054213954	0.4917934938
430	0.8055265428	0.4917087876
431	0.8057058675	0.4916089714
432	0.8058685344	0.4914972297
433	0.8059894448	0.4914244059
434	0.8060876873	0.4913449311
435	0.8063745091	0.4911722959
436	0.8064671861	0.491101753
437	0.8066015965	0.4910153174
438	0.8067424979	0.4909226969
439	0.8068377941	0.4908642494
440	0.8070852824	0.4907204858
441	0.8071958355	0.4906493767
442	0.8073238048	0.4905422673
443	0.8074406373	0.4904560034
444	0.8075453882	0.4903948828
445	0.8076038295	0.490356559
446	0.8078131158	0.4902442231
447	0.8078227842	0.4902252355
448	0.8080871402	0.4900654331
449	0.8082796993	0.4899488842
450	0.8083525835	0.4899064372
451	0.808426222	0.4898627632
452	0.8085615118	0.4897362072
453	0.8088798829	0.4895371144
454	0.8090580703	0.4894122052
455	0.8091412907	0.4893648914
456	0.8092278172	0.4893039842
457	0.8093064362	0.4892545786
458	0.8094404039	0.489173291
459	0.8097411433	0.4889825339
460	0.809937659	0.4888527023
461	0.8100206465	0.4887788914
462	0.8101455193	0.4887000712
463	0.8103038427	0.4885983851
464	0.810438688	0.4885095103
465	0.810662804	0.4883616211
466	0.8108084935	0.4882641306
467	0.8109817813	0.4881387765
468	0.8111513549	0.4880286693
469	0.8112454464	0.4879643095
470	0.811336174	0.4878839383
471	0.8114144774	0.4878287825
472	0.8115836084	0.4877160515
473	0.8116428271	0.4876813087
474	0.8117931834	0.4875931198
475	0.8119559349	0.4875019783
476	0.8121239497	0.4874041347
477	0.8122638389	0.487325436
478	0.8125307621	0.4871520413
479	0.8126602671	0.4870662708
480	0.8128489253	0.486950039
481	0.8129898845	0.4868476222
482	0.8133094526	0.4866441838
483	0.8134764591	0.4865413426
484	0.8136420376	0.4864460021
485	0.8138092846	0.4863305727
486	0.8139439181	0.486234243
487	0.8140892439	0.4861411595
488	0.8143260804	0.4859826793
489	0.8144332177	0.485893028
490	0.8146291676	0.4857638259
491	0.8147426709	0.4856863449
492	0.8148645416	0.4855987307
493	0.8150128502	0.4855030244
494	0.8151809132	0.4853998881
495	0.815282612	0.4853280604
496	0.8155225411	0.4851974428
497	0.815771415	0.4850459708
498	0.8160343334	0.484890026
499	0.8160964023	0.4848383478
500	0.8162296945	0.4846669913
501	0.8163998628	0.4845135978
502	0.8164723467	0.4844581163
503	0.8166011742	0.4843731511
504	0.8168804138	0.4841936018
505	0.817023998	0.4841048805
506	0.817047376	0.4840790781
507	0.8171633907	0.4840016776
508	0.8172915735	0.483907367
509	0.8174166523	0.4838234215
510	0.8175534624	0.4837360675
511	0.8177779402	0.4836016496
512	0.8178631889	0.4835368535
513	0.8179290931	0.4834922574
514	0.8181304431	0.4833549616
515	0.8182717795	0.4832738766
516	0.8184664824	0.483142937
517	0.818661982	0.4829952347
518	0.8187688402	0.4828820904
519	0.8189325867	0.4827856476
520	0.8191671755	0.4826452637
521	0.819319027	0.4825516264
522	0.8194313679	0.4824802875
523	0.8195383396	0.482411949
524	0.8196551645	0.482350433
525	0.8197132882	0.4823161968
526	0.8198368178	0.482249485
527	0.8199126156	0.4822053089
528	0.8199506905	0.482174599
529	0.8200331373	0.4821114083
530	0.820226955	0.481996524
531	0.8203327643	0.4819160285
532	0.8204566037	0.4818364235
533	0.8205670529	0.4817603329
534	0.820856109	0.481574365
535	0.8210805253	0.4814379598
536	0.8211472359	0.4813906734
537	0.8212898963	0.4813000766
538	0.8214096674	0.4812243808
539	0.8216323016	0.4810741123
540	0.8217247573	0.4810164044
541	0.821894025	0.4808997255
542	0.8220307793	0.4807962974
543	0.8222872047	0.4806163329
544	0.8224082633	0.4805349389
545	0.8226127847	0.4804033707
546	0.8227070205	0.4803484229
547	0.8229123617	0.4801851054
548	0.8230961935	0.4800748717
549	0.8232594454	0.4799954521
550	0.8234095668	0.4799094302
551	0.8235230566	0.4798214115
552	0.8237299123	0.4796606692
553	0.8238604238	0.4795458061
554	0.8240692059	0.4794107703
555	0.8242567095	0.4793035896
556	0.8245488274	0.479122149
557	0.8246939453	0.4790174049
558	0.8247542091	0.4789633972
559	0.824905897	0.478815454
560	0.8250785747	0.4786865321
561	0.825160321	0.478634259
562	0.8253697843	0.478504399
563	0.8254923882	0.4784300608
564	0.8255762917	0.4783758263
565	0.8257110466	0.4782833337
566	0.8259483584	0.4781335075
567	0.8260522145	0.4780166158
568	0.8261792061	0.4778987443
569	0.8263605708	0.4777342255
570	0.8264968248	0.4776384758
571	0.8266701376	0.4774999092
572	0.8268399325	0.4773688493
573	0.826980401	0.4772906503
574	0.8271665652	0.4771558625
575	0.8272244831	0.4771091667
576	0.8274967696	0.4769444672
577	0.8278214856	0.4767085532
578	0.8280126649	0.4765516296
579	0.8283491622	0.4763525945
580	0.8283966207	0.4762988669
581	0.8285423314	0.4761610291
582	0.8286952875	0.4760640843
583	0.828845203	0.4759653519
584	0.8289464938	0.4759052284
585	0.8290351757	0.4758401392
586	0.8292003482	0.4757290548
587	0.8292996318	0.4756572402
588	0.8293671891	0.4755952873
589	0.8294907918	0.4755093044
590	0.8295318727	0.4754773579
591	0.8296942644	0.4752324976
592	0.8298936437	0.47510444
593	0.8299873445	0.4750314707
594	0.8301072562	0.4749431461
595	0.8302536692	0.4748588404
596	0.8303521676	0.4747865963
597	0.8304445829	0.4747169902
598	0.8304801965	0.4746702233
599	0.830607931	0.474583472
600	0.8306896099	0.4745147929
601	0.830817989	0.4743842255
602	0.8311807934	0.474165088
603	0.8313633839	0.4740456858
604	0.8314593671	0.473986132
605	0.8316355916	0.473881705
606	0.8317434197	0.4738070588
607	0.8318600675	0.4737247198
608	0.8319398008	0.4736401901
609	0.8320932322	0.4735374602
610	0.8322904081	0.4734277213
611	0.8324348929	0.4733354323
612	0.8324893506	0.4732882782
613	0.8325845794	0.4732109546
614	0.8328133891	0.4730442664
615	0.8329640571	0.4729702951
616	0.8331556232	0.4728316491
617	0.8332487467	0.4727680386
618	0.8332904973	0.4727376238
619	0.8333136906	0.4727166004
620	0.8333826124	0.4726338566
621	0.8335120096	0.4725138637
622	0.8336587729	0.472380403
623	0.8339007361	0.4722089772
624	0.8340053215	0.47209289
625	0.8340424593	0.4720347114
626	0.8342732724	0.4718890303
627	0.8343363823	0.4718420638
628	0.8344174627	0.471785232
629	0.834598098	0.471662214
630	0.8346823075	0.471615915
631	0.8347330606	0.4715406996
632	0.8350555288	0.4713478781
633	0.8351890886	0.4712657902
634	0.8352660968	0.4712062426
635	0.8356107807	0.4709504579
636	0.8357514936	0.4708626251
637	0.8359402192	0.4707510065
638	0.8361435975	0.4706020708
639	0.8362633591	0.4705275111
640	0.8365498865	0.4703520186
641	0.8366986493	0.470249488
642	0.8368475545	0.4701215226
643	0.8370471224	0.4699886147
644	0.8371570423	0.4699255509
645	0.8373541142	0.4698019948
646	0.8374789332	0.4697219168
647	0.837514439	0.469698817
648	0.83760885	0.4696334345
649	0.8378315246	0.4694744079
650	0.8380075855	0.4693645031
651	0.8381222242	0.4692846927
652	0.838260774	0.4691861183
653	0.838336362	0.4691340746
654	0.8384968408	0.4690008656
655	0.8386628523	0.4688895968
656	0.838775401	0.468807172
657	0.8388287406	0.4687478497
658	0.8388787894	0.4687102647
659	0.839080226	0.4685592986
660	0.8392134701	0.4684813085
661	0.8393090453	0.4684106393
662	0.839366459	0.4683246722
663	0.8394385041	0.4682727156
664	0.839503806	0.4682142134
665	0.8397309203	0.4680489932
666	0.8398619686	0.4679478428
667	0.8400787949	0.4677995781
668	0.8401216271	0.4677658334
669	0.840345899	0.4676356562
670	0.840573402	0.4674796675
671	0.8406480124	0.4674188903
672	0.8408380178	0.4672876703
673	0.8409334352	0.4672171168
674	0.8409870558	0.4671757137
675	0.8412532458	0.4670206037
676	0.8413603618	0.4669476799
677	0.8414671353	0.4668694075
678	0.8415975294	0.4667616573
679	0.8416756865	0.4667020701
680	0.8418217243	0.466605006
681	0.8419951391	0.4664736637
682	0.8420613109	0.4664262587
683	0.8422216876	0.4663140371
684	0.8423076868	0.4662552401
685	0.8424013549	0.4661926887
686	0.8424725379	0.466134069
687	0.8425430743	0.4660806351
688	0.8426192146	0.4660170026
689	0.8427568022	0.4659149999
690	0.8429150909	0.4657974912
691	0.843094662	0.4656466328
692	0.84325781	0.4655285401
693	0.8433834834	0.4654426602
694	0.8434646215	0.4653757579
695	0.8435381792	0.4653002438
696	0.843725856	0.4651589598
697	0.8439887706	0.4649868724
698	0.8440634888	0.4649031775
699	0.8441680819	0.4648168342
700	0.8444246863	0.464631964
701	0.8445557423	0.4645143628
702	0.8446012167	0.4644755622
703	0.8446792488	0.4644315176
704	0.8448063347	0.4643319663
705	0.8448983324	0.4642496703
706	0.8450934895	0.464113236
707	0.8452323145	0.4640221655
708	0.8452764649	0.4639858119
709	0.8453256593	0.4639297591
710	0.8454479226	0.4638456253
711	0.8454977424	0.4638075988
712	0.8456368311	0.463660331
713	0.8458088949	0.4635475714
714	0.8459309234	0.4634330577
715	0.8460714342	0.4632967029
716	0.8461368632	0.4632520878
717	0.8462210957	0.4631936037
718	0.8462679981	0.4631619983
719	0.8463228811	0.4631158254
720	0.8464927819	0.4630112766
721	0.8466234973	0.4629178715
722	0.8467438477	0.4628386717
723	0.8469418568	0.4626977699
724	0.847035956	0.4626293111
725	0.8471618411	0.4625367679
726	0.8472134314	0.4624927499
727	0.8472755253	0.462451177
728	0.8474178701	0.4623617513
729	0.8474750836	0.4623079519
730	0.847551068	0.4622444394
731	0.8475864892	0.4622019814
732	0.8477045649	0.4621068226
733	0.8477473952	0.4620804919
734	0.8478381439	0.4620032753
735	0.8479307574	0.4619199265
736	0.8480114375	0.4618619534
737	0.8480657335	0.461814812
738	0.8481589359	0.4617526599
739	0.8483307496	0.4616469283
740	0.8486213915	0.4614255858
741	0.8486640004	0.4613922214
742	0.8489828122	0.4611815327
743	0.8491022273	0.4611068337
744	0.8492121453	0.4610071528
745	0.8492951424	0.4609516098
746	0.849628832	0.4607391323
747	0.8497957307	0.4606060177
748	0.8499532266	0.4605154095
749	0.8501062154	0.4603948693
750	0.8502306379	0.4602980316
751	0.8504302135	0.4601580861
752	0.8505606826	0.4600403556
753	0.8509008306	0.4597957785
754	0.8509619738	0.4597021938
755	0.8510200976	0.4596733476
756	0.851073595	0.4596306649
757	0.8511270039	0.4595845543
758	0.8512397893	0.4594790746
759	0.8513249726	0.4594173436
760	0.8514287055	0.4593431348
761	0.8515889649	0.4592351926
762	0.851739119	0.4591148866
763	0.851901603	0.459018089
764	0.8520034711	0.4589462115
765	0.852199704	0.4588112081
766	0.8523957656	0.4586864078
767	0.8525239504	0.4585550847
768	0.8528908769	0.4583195839
769	0.8529352198	0.4582759589
770	0.8530879392	0.4581775263
771	0.8531722295	0.4581306128
772	0.8532355339	0.4580772071
773	0.8533738527	0.4579740741
